Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 11/17/2016 2:47:13 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI
  Homozygotes:                                              1074
Number of alleles:                                             2
Observed heterozygosity:                                       0.3970
Expected heterozygosity:                                       0.3915
Polymorphic information content (PIC):                         0.3148
Average non-exclusion probability (first parent):              0.9234
Average non-exclusion probability (second parent):             0.8426
Average non-exclusion probability (parent pair):               0.7551
Average non-exclusion probability (identity):                  0.4470
Average non-exclusion probability (sib identity):              0.6660


**** Locus dDocent_Contig_6378_64 ****

Allele  Count    Hets     Homs     Freq  
     1     2655      665      995  0.7454
     2      907      665      121  0.2546

Number of individuals typed:                                1781
  Heterozygotes:                                             665
  Homozygotes:                                              1116
Number of alleles:                                             2
Observed heterozygosity:                                       0.3734
Expected heterozygosity:                                       0.3797
Polymorphic information content (PIC):                         0.3075
Average non-exclusion probability (first parent):              0.9280
Average non-exclusion probability (second parent):             0.8462
Average non-exclusion probability (parent pair):               0.7595
Average non-exclusion probability (identity):                  0.4570
Average non-exclusion probability (sib identity):              0.6744


**** Locus dDocent_Contig_6378_87 ****

Allele  Count    Hets     Homs     Freq  
     1     2747      619     1064  0.7712
     2      815      619       98  0.2288

Number of individuals typed:                                1781
  Heterozygotes:                                             619
  Homozygotes:                                              1162
Number of alleles:                                             2
Observed heterozygosity:                                       0.3476
Expected heterozygosity:                                       0.3530
Polymorphic information content (PIC):                         0.2906
Average non-exclusion probability (first parent):              0.9377
Average non-exclusion probability (second parent):             0.8547
Average non-exclusion probability (parent pair):               0.7698
Average non-exclusion probability (identity):                  0.4810
Average non-exclusion probability (sib identity):              0.6938


**** Locus dDocent_Contig_6381_27 ****

Allele  Count    Hets     Homs     Freq  
     1     1795     1525      135  0.5082
     2     1737     1525      106  0.4918

Number of individuals typed:                                1766
  Heterozygotes:                                            1525
  Homozygotes:                                               241
Number of alleles:                                             2
Observed heterozygosity:                                       0.8635
Expected heterozygosity:                                       0.5000
Polymorphic information content (PIC):                         0.3749
Average non-exclusion probability (first parent):              0.8751
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3751
Average non-exclusion probability (sib identity):              0.5938


**** Locus dDocent_Contig_6381_36 ****

Allele  Count    Hets     Homs     Freq  
     1     1795     1525      135  0.5082
     2     1737     1525      106  0.4918

Number of individuals typed:                                1766
  Heterozygotes:                                            1525
  Homozygotes:                                               241
Number of alleles:                                             2
Observed heterozygosity:                                       0.8635
Expected heterozygosity:                                       0.5000
Polymorphic information content (PIC):                         0.3749
Average non-exclusion probability (first parent):              0.8751
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3751
Average non-exclusion probability (sib identity):              0.5938


**** Locus dDocent_Contig_6381_66 ****

Allele  Count    Hets     Homs     Freq  
     1     1771     1513      129  0.5014
     2     1761     1513      124  0.4986

Number of individuals typed:                                1766
  Heterozygotes:                                            1513
  Homozygotes:                                               253
Number of alleles:                                             2
Observed heterozygosity:                                       0.8567
Expected heterozygosity:                                       0.5001
Polymorphic information content (PIC):                         0.3750
Average non-exclusion probability (first parent):              0.8750
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3750
Average non-exclusion probability (sib identity):              0.5938


**** Locus dDocent_Contig_6381_97 ****

Allele  Count    Hets     Homs     Freq  
     1     2818      686     1066  0.7978
     2      714      686       14  0.2022

Number of individuals typed:                                1766
  Heterozygotes:                                             686
  Homozygotes:                                              1080
Number of alleles:                                             2
Observed heterozygosity:                                       0.3884
Expected heterozygosity:                                       0.3227
Polymorphic information content (PIC):                         0.2705
Average non-exclusion probability (first parent):              0.9480
Average non-exclusion probability (second parent):             0.8647
Average non-exclusion probability (parent pair):               0.7823
Average non-exclusion probability (identity):                  0.5109
Average non-exclusion probability (sib identity):              0.7164


**** Locus dDocent_Contig_6495_115 ****

Allele  Count    Hets     Homs     Freq  
     1     1913     1621      146  0.5407
     2     1625     1621        2  0.4593

Number of individuals typed:                                1769
  Heterozygotes:                                            1621
  Homozygotes:                                               148
Number of alleles:                                             2
Observed heterozygosity:                                       0.9163
Expected heterozygosity:                                       0.4968
Polymorphic information content (PIC):                         0.3733
Average non-exclusion probability (first parent):              0.8767
Average non-exclusion probability (second parent):             0.8133
Average non-exclusion probability (parent pair):               0.7198
Average non-exclusion probability (identity):                  0.3767
Average non-exclusion probability (sib identity):              0.5958


**** Locus dDocent_Contig_6510_19 ****

Allele  Count    Hets     Homs     Freq  
     1     1260      794      233  0.3506
     2     2334      794      770  0.6494

Number of individuals typed:                                1797
  Heterozygotes:                                             794
  Homozygotes:                                              1003
Number of alleles:                                             2
Observed heterozygosity:                                       0.4418
Expected heterozygosity:                                       0.4555
Polymorphic information content (PIC):                         0.3517
Average non-exclusion probability (first parent):              0.8963
Average non-exclusion probability (second parent):             0.8242
Average non-exclusion probability (parent pair):               0.7330
Average non-exclusion probability (identity):                  0.4003
Average non-exclusion probability (sib identity):              0.6224


**** Locus dDocent_Contig_6510_42 ****

Allele  Count    Hets     Homs     Freq  
     1     1723      879      422  0.4794
     2     1871      879      496  0.5206

Number of individuals typed:                                1797
  Heterozygotes:                                             879
  Homozygotes:                                               918
Number of alleles:                                             2
Observed heterozygosity:                                       0.4891
Expected heterozygosity:                                       0.4993
Polymorphic information content (PIC):                         0.3746
Average non-exclusion probability (first parent):              0.8754
Average non-exclusion probability (second parent):             0.8127
Average non-exclusion probability (parent pair):               0.7190
Average non-exclusion probability (identity):                  0.3754
Average non-exclusion probability (sib identity):              0.5943


**** Locus dDocent_Contig_6510_48 ****

Allele  Count    Hets     Homs     Freq  
     1     1717      895      411  0.4777
     2     1877      895      491  0.5223

Number of individuals typed:                                1797
  Heterozygotes:                                             895
  Homozygotes:                                               902
Number of alleles:                                             2
Observed heterozygosity:                                       0.4981
Expected heterozygosity:                                       0.4991
Polymorphic information content (PIC):                         0.3745
Average non-exclusion probability (first parent):              0.8755
Average non-exclusion probability (second parent):             0.8127
Average non-exclusion probability (parent pair):               0.7191
Average non-exclusion probability (identity):                  0.3755
Average non-exclusion probability (sib identity):              0.5944


**** Locus dDocent_Contig_6669_59 ****

Allele  Count    Hets     Homs     Freq  
     1     2703      659     1022  0.7758
     2      781      659       61  0.2242

Number of individuals typed:                                1742
  Heterozygotes:                                             659
  Homozygotes:                                              1083
Number of alleles:                                             2
Observed heterozygosity:                                       0.3783
Expected heterozygosity:                                       0.3479
Polymorphic information content (PIC):                         0.2873
Average non-exclusion probability (first parent):              0.9395
Average non-exclusion probability (second parent):             0.8563
Average non-exclusion probability (parent pair):               0.7718
Average non-exclusion probability (identity):                  0.4858
Average non-exclusion probability (sib identity):              0.6975


**** Locus dDocent_Contig_6671_40 ****

Allele  Count    Hets     Homs     Freq  
     1     1048     1042        3  0.3022
     2     2420     1042      689  0.6978

Number of individuals typed:                                1734
  Heterozygotes:                                            1042
  Homozygotes:                                               692
Number of alleles:                                             2
Observed heterozygosity:                                       0.6009
Expected heterozygosity:                                       0.4219
Polymorphic information content (PIC):                         0.3328
Average non-exclusion probability (first parent):              0.9111
Average non-exclusion probability (second parent):             0.8336
Average non-exclusion probability (parent pair):               0.7443
Average non-exclusion probability (identity):                  0.4233
Average non-exclusion probability (sib identity):              0.6450


**** Locus dDocent_Contig_6722_49 ****

Allele  Count    Hets     Homs     Freq  
     1     2779      523     1128  0.7958
     2      713      523       95  0.2042

Number of individuals typed:                                1746
  Heterozygotes:                                             523
  Homozygotes:                                              1223
Number of alleles:                                             2
Observed heterozygosity:                                       0.2995
Expected heterozygosity:                                       0.3251
Polymorphic information content (PIC):                         0.2722
Average non-exclusion probability (first parent):              0.9472
Average non-exclusion probability (second parent):             0.8639
Average non-exclusion probability (parent pair):               0.7813
Average non-exclusion probability (identity):                  0.5085
Average non-exclusion probability (sib identity):              0.7146


**** Locus dDocent_Contig_6722_121 ****

Allele  Count    Hets     Homs     Freq  
     1     1741      795      473  0.4986
     2     1751      795      478  0.5014

Number of individuals typed:                                1746
  Heterozygotes:                                             795
  Homozygotes:                                               951
Number of alleles:                                             2
Observed heterozygosity:                                       0.4553
Expected heterozygosity:                                       0.5001
Polymorphic information content (PIC):                         0.3750
Average non-exclusion probability (first parent):              0.8750
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3750
Average non-exclusion probability (sib identity):              0.5938


**** Locus dDocent_Contig_6926_73 ****

Allele  Count    Hets     Homs     Freq  
     1     2444      798      823  0.6908
     2     1094      798      148  0.3092

Number of individuals typed:                                1769
  Heterozygotes:                                             798
  Homozygotes:                                               971
Number of alleles:                                             2
Observed heterozygosity:                                       0.4511
Expected heterozygosity:                                       0.4273
Polymorphic information content (PIC):                         0.3360
Average non-exclusion probability (first parent):              0.9087
Average non-exclusion probability (second parent):             0.8320
Average non-exclusion probability (parent pair):               0.7425
Average non-exclusion probability (identity):                  0.4193
Average non-exclusion probability (sib identity):              0.6412


**** Locus dDocent_Contig_6926_75 ****

Allele  Count    Hets     Homs     Freq  
     1     1288      858      215  0.3640
     2     2250      858      696  0.6360

Number of individuals typed:                                1769
  Heterozygotes:                                             858
  Homozygotes:                                               911
Number of alleles:                                             2
Observed heterozygosity:                                       0.4850
Expected heterozygosity:                                       0.4632
Polymorphic information content (PIC):                         0.3558
Average non-exclusion probability (first parent):              0.8928
Average non-exclusion probability (second parent):             0.8221
Average non-exclusion probability (parent pair):               0.7305
Average non-exclusion probability (identity):                  0.3955
Average non-exclusion probability (sib identity):              0.6174


**** Locus dDocent_Contig_6926_79 ****

Allele  Count    Hets     Homs     Freq  
     1     1288      858      215  0.3640
     2     2250      858      696  0.6360

Number of individuals typed:                                1769
  Heterozygotes:                                             858
  Homozygotes:                                               911
Number of alleles:                                             2
Observed heterozygosity:                                       0.4850
Expected heterozygosity:                                       0.4632
Polymorphic information content (PIC):                         0.3558
Average non-exclusion probability (first parent):              0.8928
Average non-exclusion probability (second parent):             0.8221
Average non-exclusion probability (parent pair):               0.7305
Average non-exclusion probability (identity):                  0.3955
Average non-exclusion probability (sib identity):              0.6174


**** Locus dDocent_Contig_7037_101 ****

Allele  Count    Hets     Homs     Freq  
     1     2261      849      706  0.6305
     2     1325      849      238  0.3695

Number of individuals typed:                                1793
  Heterozygotes:                                             849
  Homozygotes:                                               944
Number of alleles:                                             2
Observed heterozygosity:                                       0.4735
Expected heterozygosity:                                       0.4661
Polymorphic information content (PIC):                         0.3574
Average non-exclusion probability (first parent):              0.8915
Average non-exclusion probability (second parent):             0.8213
Average non-exclusion probability (parent pair):               0.7296
Average non-exclusion probability (identity):                  0.3938
Average non-exclusion probability (sib identity):              0.6155


**** Locus dDocent_Contig_7072_24 ****

Allele  Count    Hets     Homs     Freq  
     1     2295      875      710  0.6350
     2     1319      875      222  0.3650

Number of individuals typed:                                1807
  Heterozygotes:                                             875
  Homozygotes:                                               932
Number of alleles:                                             2
Observed heterozygosity:                                       0.4842
Expected heterozygosity:                                       0.4637
Polymorphic information content (PIC):                         0.3561
Average non-exclusion probability (first parent):              0.8926
Average non-exclusion probability (second parent):             0.8219
Average non-exclusion probability (parent pair):               0.7303
Average non-exclusion probability (identity):                  0.3952
Average non-exclusion probability (sib identity):              0.6170


**** Locus dDocent_Contig_7079_107 ****

Allele  Count    Hets     Homs     Freq  
     1      981      679      151  0.2796
     2     2527      679      924  0.7204

Number of individuals typed:                                1754
  Heterozygotes:                                             679
  Homozygotes:                                              1075
Number of alleles:                                             2
Observed heterozygosity:                                       0.3871
Expected heterozygosity:                                       0.4030
Polymorphic information content (PIC):                         0.3217
Average non-exclusion probability (first parent):              0.9188
Average non-exclusion probability (second parent):             0.8391
Average non-exclusion probability (parent pair):               0.7510
Average non-exclusion probability (identity):                  0.4377
Average non-exclusion probability (sib identity):              0.6580


**** Locus dDocent_Contig_7118_33 ****

Allele  Count    Hets     Homs     Freq  
     1     1258      844      207  0.3534
     2     2302      844      729  0.6466

Number of individuals typed:                                1780
  Heterozygotes:                                             844
  Homozygotes:                                               936
Number of alleles:                                             2
Observed heterozygosity:                                       0.4742
Expected heterozygosity:                                       0.4571
Polymorphic information content (PIC):                         0.3526
Average non-exclusion probability (first parent):              0.8956
Average non-exclusion probability (second parent):             0.8237
Average non-exclusion probability (parent pair):               0.7325
Average non-exclusion probability (identity):                  0.3993
Average non-exclusion probability (sib identity):              0.6213


**** Locus dDocent_Contig_7118_74 ****

Allele  Count    Hets     Homs     Freq  
     1     1814      932      441  0.5096
     2     1746      932      407  0.4904

Number of individuals typed:                                1780
  Heterozygotes:                                             932
  Homozygotes:                                               848
Number of alleles:                                             2
Observed heterozygosity:                                       0.5236
Expected heterozygosity:                                       0.5000
Polymorphic information content (PIC):                         0.3749
Average non-exclusion probability (first parent):              0.8751
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3751
Average non-exclusion probability (sib identity):              0.5939


**** Locus dDocent_Contig_7118_127 ****

Allele  Count    Hets     Homs     Freq  
     1     2838      580     1129  0.7972
     2      722      580       71  0.2028

Number of individuals typed:                                1780
  Heterozygotes:                                             580
  Homozygotes:                                              1200
Number of alleles:                                             2
Observed heterozygosity:                                       0.3258
Expected heterozygosity:                                       0.3234
Polymorphic information content (PIC):                         0.2711
Average non-exclusion probability (first parent):              0.9477
Average non-exclusion probability (second parent):             0.8645
Average non-exclusion probability (parent pair):               0.7820
Average non-exclusion probability (identity):                  0.5101
Average non-exclusion probability (sib identity):              0.7159


**** Locus dDocent_Contig_7182_105 ****

Allele  Count    Hets     Homs     Freq  
     1     2573      737      918  0.7211
     2      995      737      129  0.2789

Number of individuals typed:                                1784
  Heterozygotes:                                             737
  Homozygotes:                                              1047
Number of alleles:                                             2
Observed heterozygosity:                                       0.4131
Expected heterozygosity:                                       0.4023
Polymorphic information content (PIC):                         0.3213
Average non-exclusion probability (first parent):              0.9191
Average non-exclusion probability (second parent):             0.8393
Average non-exclusion probability (parent pair):               0.7512
Average non-exclusion probability (identity):                  0.4382
Average non-exclusion probability (sib identity):              0.6585


**** Locus dDocent_Contig_7302_32 ****

Allele  Count    Hets     Homs     Freq  
     1     2039     1501      269  0.5753
     2     1505     1501        2  0.4247

Number of individuals typed:                                1772
  Heterozygotes:                                            1501
  Homozygotes:                                               271
Number of alleles:                                             2
Observed heterozygosity:                                       0.8471
Expected heterozygosity:                                       0.4888
Polymorphic information content (PIC):                         0.3693
Average non-exclusion probability (first parent):              0.8806
Average non-exclusion probability (second parent):             0.8154
Average non-exclusion probability (parent pair):               0.7223
Average non-exclusion probability (identity):                  0.3809
Average non-exclusion probability (sib identity):              0.6009


**** Locus dDocent_Contig_7302_65 ****

Allele  Count    Hets     Homs     Freq  
     1     1759     1733       13  0.4963
     2     1785     1733       26  0.5037

Number of individuals typed:                                1772
  Heterozygotes:                                            1733
  Homozygotes:                                                39
Number of alleles:                                             2
Observed heterozygosity:                                       0.9780
Expected heterozygosity:                                       0.5001
Polymorphic information content (PIC):                         0.3750
Average non-exclusion probability (first parent):              0.8750
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3750
Average non-exclusion probability (sib identity):              0.5938


**** Locus dDocent_Contig_7372_64 ****

Allele  Count    Hets     Homs     Freq  
     1      882      694       94  0.2446
     2     2724      694     1015  0.7554

Number of individuals typed:                                1803
  Heterozygotes:                                             694
  Homozygotes:                                              1109
Number of alleles:                                             2
Observed heterozygosity:                                       0.3849
Expected heterozygosity:                                       0.3696
Polymorphic information content (PIC):                         0.3013
Average non-exclusion probability (first parent):              0.9317
Average non-exclusion probability (second parent):             0.8494
Average non-exclusion probability (parent pair):               0.7633
Average non-exclusion probability (identity):                  0.4658
Average non-exclusion probability (sib identity):              0.6817


**** Locus dDocent_Contig_7414_8 ****

Allele  Count    Hets     Homs     Freq  
     1     2542      722      910  0.7132
     2     1022      722      150  0.2868

Number of individuals typed:                                1782
  Heterozygotes:                                             722
  Homozygotes:                                              1060
Number of alleles:                                             2
Observed heterozygosity:                                       0.4052
Expected heterozygosity:                                       0.4092
Polymorphic information content (PIC):                         0.3254
Average non-exclusion probability (first parent):              0.9163
Average non-exclusion probability (second parent):             0.8373
Average non-exclusion probability (parent pair):               0.7488
Average non-exclusion probability (identity):                  0.4329
Average non-exclusion probability (sib identity):              0.6537


**** Locus dDocent_Contig_7628_94 ****

Allele  Count    Hets     Homs     Freq  
     1     1843      901      471  0.5212
     2     1693      901      396  0.4788

Number of individuals typed:                                1768
  Heterozygotes:                                             901
  Homozygotes:                                               867
Number of alleles:                                             2
Observed heterozygosity:                                       0.5096
Expected heterozygosity:                                       0.4992
Polymorphic information content (PIC):                         0.3745
Average non-exclusion probability (first parent):              0.8754
Average non-exclusion probability (second parent):             0.8127
Average non-exclusion probability (parent pair):               0.7190
Average non-exclusion probability (identity):                  0.3755
Average non-exclusion probability (sib identity):              0.5943


**** Locus dDocent_Contig_7680_10 ****

Allele  Count    Hets     Homs     Freq  
     1      821      623       99  0.2315
     2     2725      623     1051  0.7685

Number of individuals typed:                                1773
  Heterozygotes:                                             623
  Homozygotes:                                              1150
Number of alleles:                                             2
Observed heterozygosity:                                       0.3514
Expected heterozygosity:                                       0.3559
Polymorphic information content (PIC):                         0.2925
Average non-exclusion probability (first parent):              0.9367
Average non-exclusion probability (second parent):             0.8537
Average non-exclusion probability (parent pair):               0.7686
Average non-exclusion probability (identity):                  0.4782
Average non-exclusion probability (sib identity):              0.6916


**** Locus dDocent_Contig_7680_22 ****

Allele  Count    Hets     Homs     Freq  
     1     1710      916      397  0.4822
     2     1836      916      460  0.5178

Number of individuals typed:                                1773
  Heterozygotes:                                             916
  Homozygotes:                                               857
Number of alleles:                                             2
Observed heterozygosity:                                       0.5166
Expected heterozygosity:                                       0.4995
Polymorphic information content (PIC):                         0.3747
Average non-exclusion probability (first parent):              0.8753
Average non-exclusion probability (second parent):             0.8127
Average non-exclusion probability (parent pair):               0.7189
Average non-exclusion probability (identity):                  0.3753
Average non-exclusion probability (sib identity):              0.5941


**** Locus dDocent_Contig_7680_97 ****

Allele  Count    Hets     Homs     Freq  
     1     1678      904      387  0.4732
     2     1868      904      482  0.5268

Number of individuals typed:                                1773
  Heterozygotes:                                             904
  Homozygotes:                                               869
Number of alleles:                                             2
Observed heterozygosity:                                       0.5099
Expected heterozygosity:                                       0.4987
Polymorphic information content (PIC):                         0.3743
Average non-exclusion probability (first parent):              0.8757
Average non-exclusion probability (second parent):             0.8129
Average non-exclusion probability (parent pair):               0.7192
Average non-exclusion probability (identity):                  0.3757
Average non-exclusion probability (sib identity):              0.5946


**** Locus dDocent_Contig_7680_114 ****

Allele  Count    Hets     Homs     Freq  
     1     1676      906      385  0.4726
     2     1870      906      482  0.5274

Number of individuals typed:                                1773
  Heterozygotes:                                             906
  Homozygotes:                                               867
Number of alleles:                                             2
Observed heterozygosity:                                       0.5110
Expected heterozygosity:                                       0.4986
Polymorphic information content (PIC):                         0.3743
Average non-exclusion probability (first parent):              0.8757
Average non-exclusion probability (second parent):             0.8129
Average non-exclusion probability (parent pair):               0.7192
Average non-exclusion probability (identity):                  0.3758
Average non-exclusion probability (sib identity):              0.5947


**** Locus dDocent_Contig_7704_12 ****

Allele  Count    Hets     Homs     Freq  
     1     2583      971      806  0.7163
     2     1023      971       26  0.2837

Number of individuals typed:                                1803
  Heterozygotes:                                             971
  Homozygotes:                                               832
Number of alleles:                                             2
Observed heterozygosity:                                       0.5385
Expected heterozygosity:                                       0.4065
Polymorphic information content (PIC):                         0.3238
Average non-exclusion probability (first parent):              0.9174
Average non-exclusion probability (second parent):             0.8381
Average non-exclusion probability (parent pair):               0.7497
Average non-exclusion probability (identity):                  0.4349
Average non-exclusion probability (sib identity):              0.6555


**** Locus dDocent_Contig_7704_74 ****

Allele  Count    Hets     Homs     Freq  
     1     1455     1121      167  0.4035
     2     2151     1121      515  0.5965

Number of individuals typed:                                1803
  Heterozygotes:                                            1121
  Homozygotes:                                               682
Number of alleles:                                             2
Observed heterozygosity:                                       0.6217
Expected heterozygosity:                                       0.4815
Polymorphic information content (PIC):                         0.3655
Average non-exclusion probability (first parent):              0.8841
Average non-exclusion probability (second parent):             0.8172
Average non-exclusion probability (parent pair):               0.7246
Average non-exclusion probability (identity):                  0.3848
Average non-exclusion probability (sib identity):              0.6055


**** Locus dDocent_Contig_7790_25 ****

Allele  Count    Hets     Homs     Freq  
     1     2232      836      698  0.6221
     2     1356      836      260  0.3779

Number of individuals typed:                                1794
  Heterozygotes:                                             836
  Homozygotes:                                               958
Number of alleles:                                             2
Observed heterozygosity:                                       0.4660
Expected heterozygosity:                                       0.4703
Polymorphic information content (PIC):                         0.3597
Average non-exclusion probability (first parent):              0.8895
Average non-exclusion probability (second parent):             0.8202
Average non-exclusion probability (parent pair):               0.7282
Average non-exclusion probability (identity):                  0.3912
Average non-exclusion probability (sib identity):              0.6127


**** Locus dDocent_Contig_7790_109 ****

Allele  Count    Hets     Homs     Freq  
     1     1821      897      462  0.5078
     2     1765      897      434  0.4922

Number of individuals typed:                                1793
  Heterozygotes:                                             897
  Homozygotes:                                               896
Number of alleles:                                             2
Observed heterozygosity:                                       0.5003
Expected heterozygosity:                                       0.5000
Polymorphic information content (PIC):                         0.3749
Average non-exclusion probability (first parent):              0.8751
Average non-exclusion probability (second parent):             0.8125
Average non-exclusion probability (parent pair):               0.7188
Average non-exclusion probability (identity):                  0.3751
Average non-exclusion probability (sib identity):              0.5938


**** Locus dDocent_Contig_7790_111 ****

Allele  Count    Hets     Homs     Freq  
     1     2812      588     1112  0.7842
     2      774      588       93  0.2158

Number of individuals typed:                                1793
  Heterozygotes:                                             588
  Homozygotes:                                              1205
Number of alleles:                                             2
Observed heterozygosity:                                       0.3279
Expected heterozygosity:                                       0.3386
Polymorphic information content (PIC):                         0.2812
Average non-exclusion probability (first parent):              0.9427
Average non-exclusion probability (second parent):             0.8594
Average non-exclusion probability (parent pair):               0.7756
Average non-exclusion probability (identity):                  0.4949
Average non-exclusion probability (sib identity):              0.7045


**** Locus dDocent_Contig_7855_93 ****

Allele  Count    Hets     Homs     Freq  
     1     2518      692      913  0.7077
     2     1040      692      174  0.2923

Number of individuals typed:                                1779
  Heterozygotes:                                             692
  Homozygotes:                                              1087
Number of alleles:                                             2
Observed heterozygosity:                                       0.3890
Expected heterozygosity:                                       0.4138
Polymorphic information content (PIC):                         0.3281
Average non-exclusion probability (first parent):              0.9144
Average non-exclusion probability (second parent):             0.8359
Average non-exclusion probability (parent pair):               0.7471
Average non-exclusion probability (identity):                  0.4293
Average non-exclusion probability (sib identity):              0.6505


**** Locus dDocent_Contig_7922_135 ****

Allele  Count    Hets     Homs     Freq  
     1     2546      718      914  0.7100
     2     1040      718      161  0.2900

Number of individuals typed:                                1793
  Heterozygotes:                                             718
  Homozygotes:                                              1075
Number of alleles:                                             2
Observed heterozygosity:                                       0.4004
Expected heterozygosity:                                       0.4119
Polymorphic information content (PIC):                         0.3270
Average non-exclusion probability (first parent):              0.9152
Average non-exclusion probability (second parent):             0.8365
Average non-exclusion probability (parent pair):               0.7478
Average non-exclusion probability (identity):                  0.4308
Average non-exclusion probability (sib identity):              0.6518


**** Locus dDocent_Contig_7971_104 ****

Allele  Count    Hets     Homs     Freq  
     1     2683      627     1028  0.7605
     2      845      627      109  0.2395

Number of individuals typed:                                1764
  Heterozygotes:                                             627
  Homozygotes:                                              1137
Number of alleles:                                             2
Observed heterozygosity:                                       0.3554
Expected heterozygosity:                                       0.3644
Polymorphic information content (PIC):                         0.2979
Average non-exclusion probability (first parent):              0.9336
Average non-exclusion probability (second parent):             0.8510
Average non-exclusion probability (parent pair):               0.7653
Average non-exclusion probability (identity):                  0.4705
Average non-exclusion probability (sib identity):              0.6855


**** Locus dDocent_Contig_7971_131 ****

Allele  Count    Hets     Homs     Freq  
     1      706      538       84  0.2002
     2     2820      538     1141  0.7998

Number of individuals typed:                                1763
  Heterozygotes:                                             538
  Homozygotes:                                              1225
Number of alleles:                                             2
Observed heterozygosity:                                       0.3052
Expected heterozygosity:                                       0.3204
Polymorphic information content (PIC):                         0.2690
Average non-exclusion probability (first parent):              0.9487
Average non-exclusion probability (second parent):             0.8655
Average non-exclusion probability (parent pair):               0.7833
Average non-exclusion probability (identity):                  0.5133
Average non-exclusion probability (sib identity):              0.7182


**** Locus dDocent_Contig_8010_116 ****

Allele  Count    Hets     Homs     Freq  
     1      879      631      124  0.2483
     2     2661      631     1015  0.7517

Number of individuals typed:                                1770
  Heterozygotes:                                             631
  Homozygotes:                                              1139
Number of alleles:                                             2
Observed heterozygosity:                                       0.3565
Expected heterozygosity:                                       0.3734
Polymorphic information content (PIC):                         0.3036
Average non-exclusion probability (first parent):              0.9303
Average non-exclusion probability (second parent):             0.8482
Average non-exclusion probability (parent pair):               0.7619
Average non-exclusion probability (identity):                  0.4624
Average non-exclusion probability (sib identity):              0.6790


**** Locus dDocent_Contig_8010_133 ****

Allele  Count    Hets     Homs     Freq  
     1     2703      619     1042  0.7636
     2      837      619      109  0.2364

Number of individuals typed:                                1770
  Heterozygotes:                                             619
  Homozygotes:                                              1151
Number of alleles:                                             2
Observed heterozygosity:                                       0.3497
Expected heterozygosity:                                       0.3612
Polymorphic information content (PIC):                         0.2959
Average non-exclusion probability (first parent):              0.9348
Average non-exclusion probability (second parent):             0.8521
Average non-exclusion probability (parent pair):               0.7666
Average non-exclusion probability (identity):                  0.4734
